n,alpha,T_c
9,0.98,0.4074160965641128
9,0.99,0.4176414753514596
10,0.01,0.013372977929354456
10,0.02,0.017384328501325045
10,0.03,0.020313456337859196
10,0.04,0.023466939049610655
10,0.05,0.026794391895889693
10,0.06,0.03035051791017277
10,0.07,0.03341080806683505
10,0.08,0.03648520443197183
10,0.09,0.039804521021657345
10,0.1,0.0435303943154876
10,0.11,0.047377245059212474
10,0.12,0.050809856171993455
10,0.13,0.05426702180482788
10,0.14,0.05788624821255294
10,0.15,0.06127026861685961
10,0.16,0.06504409287289538
10,0.17,0.06817777768107526
10,0.18,0.07190936085917866
10,0.19,0.07607647896721235
10,0.2,0.07997829233161124
10,0.21,0.08367294853751295
10,0.22,0.08729353229108933
10,0.23,0.09230653644227939
10,0.24,0.09619126683148324
10,0.25,0.09990618164569963
10,0.26,0.10412588680840594
10,0.27,0.10766788176352705
10,0.28,0.11180353887672316
10,0.29,0.11596878901617293
10,0.3,0.1207466682191346
10,0.31,0.12471662319918352
10,0.32,0.1293320036189265
10,0.33,0.13303110677505775
10,0.34,0.1373719392107867
10,0.35,0.1404722839167722
10,0.36,0.14394814399525377
10,0.37,0.14768180912804157
10,0.38,0.15223176434020075
10,0.39,0.1558874410936296
10,0.4,0.1600337252956936
10,0.41,0.1636176531500523
10,0.42,0.16746704897415532
10,0.43,0.17182929967468683
10,0.44,0.17603857198281395
10,0.45,0.1794867508643816
10,0.46,0.184198091217107
10,0.47,0.18730585242427253
10,0.48,0.1912397141769879
10,0.49,0.19499323732199433
10,0.5,0.1994735512771496
10,0.51,0.2032095895627247
10,0.52,0.20703668116731236
10,0.53,0.21174700579495798
10,0.54,0.21540137353838096
10,0.55,0.2196440185459553
10,0.56,0.22408817580347246
10,0.57,0.22736217597868683
10,0.58,0.23101684030760963
10,0.59,0.2352643481092137
10,0.6,0.23940757270512375
10,0.61,0.2434197578305847
10,0.62,0.24781594785451877
10,0.63,0.25205105660039645
10,0.64,0.25671713758791187
10,0.65,0.2604757989567891
10,0.66,0.26455061889398634
10,0.67,0.26878616702126534
10,0.68,0.27329593368829175
10,0.69,0.2773218057651725
10,0.7,0.28161276441745103
10,0.71,0.28558023514067465
10,0.72,0.2897309429624663
10,0.73,0.29390467188578556
10,0.74,0.2981186547069663
10,0.75,0.30204670781754267
10,0.76,0.3068038371718993
10,0.77,0.31034904015347003
10,0.78,0.3153403690671643
10,0.79,0.31977651604757257
10,0.8,0.3250632733957288
10,0.81,0.3292588307464447
10,0.82,0.3336541826450385
10,0.83,0.33830067389234864
10,0.84,0.3431077576767652
10,0.85,0.3477528032361121
10,0.86,0.3515162609026751
10,0.87,0.3562605889484741
10,0.88,0.3605636995894185
10,0.89,0.3644218889556082
10,0.9,0.3684567966775214
10,0.91,0.37230464950334835
10,0.92,0.37642383523003065
10,0.93,0.38051769870426966
10,0.94,0.3852111398699468
10,0.95,0.39030994930297985
10,0.96,0.3967070807250616
10,0.97,0.40302514151965363
10,0.98,0.4103612462983003
10,0.99,0.4220232682505734
11,0.01,0.013930613784810331
11,0.02,0.01755368329651859
11,0.03,0.020596113397160564
11,0.04,0.02420212661482986
11,0.05,0.02799136086683897
11,0.06,0.03117045269453357
11,0.07,0.035738673072311836
11,0.08,0.039296621728862925
11,0.09,0.04305581631883936
11,0.1,0.04664306949254075
11,0.11,0.04961625131961446
11,0.12,0.053218201069411795
11,0.13,0.05741471840658125
11,0.14,0.06106326645385153
11,0.15,0.06424384207712378
11,0.16,0.0687738991404649
11,0.17,0.07296493117724501
11,0.18,0.07709724823254413
11,0.19,0.08138023991531673
11,0.2,0.0854159444120219
